name,courseID,description,courseDescriptiondescription,price,manufacturerName
零基础学唱歌—AI言传身教法,11,内含3D投影版AI声乐教师设备，智能的音准识别器，千万级的调音师功能。不需要计时付费即可7*24小时享受1对1辅导，一次购买3年保固！,订阅后可解锁“歌唱练习”兴趣课程。,4700,终点科技
乐曲总纲,12,重达437Kg的学习设备与资料，不论现代的、古代的，中式的、西方的，天上飞的、地上爬的。只要能发出的声音的东西这套资料里都有涉及。是最专业的声学学习方案之一（划掉之一）！,订阅后可解锁“音乐基本理论”兴趣课程。,10000,终点科技
表演艺术—AI评委个人版,13,“你把流泪演成了尴尬的嗷嗷叫，请重新开始你的表演”是该AI最常用的点评句式。只需搭配摄像头即可使用该软件，他将给您的表演做出最标准的点评。个人版目前只配备初学者所需内容，但足以让您的演技超越您的颜值。,订阅后可解锁“演员修养”兴趣课程。,5500,终点科技
FX语言从入门到精通（典藏版）,16,FX作为近2年极度火爆的程序语言，99%的新人老鸟都对之趋之若鹜！据说熟练者可以在一天之内完成9A级大作，且维护及其简单。,订阅后可解锁“网络编程”兴趣课程。,5000,智者科技
玄玄棋经—教学版,18,用过游戏的方式向学生传授围棋技术。它的AI版甚至不需要计算步数（误）就能瞬间落子，直到赢得棋局。,订阅后可解锁“围棋”兴趣课程。,5200,智者科技
隔着屏幕说话的艺术,21,基础技术就是让人们隔着屏幕都能感受到你所要表达的东西，我们一再强调让学员自信些，这就是我们采用使用的虚拟现实形象的最大考量。,订阅后可解锁“演讲”兴趣课程。,7000,智者科技
多维宇宙精简版,24,12位世界前沿的理论物理学家用最浅显易懂的语言来向世人展开这幅梦幻画卷,订阅后可解锁“量子物理”兴趣课程。,50000,智者科技
世说花语,27,严选30枚不同品种的植物种子，请学员无比跟着我们的教程来培养，另外电子花卉可以通过额外订阅获得另外的观赏效果。,订阅后可解锁“花卉种植”兴趣课程。,5900,智者科技
家用多功能厨房,17,烹饪所需的工具它都包含， 炒、爆、 熘、 炸、烹、煎、贴、烧、焖、炖、蒸、氽、煮、烩、炝、腌、拌、烤、卤、冻、拔丝、蜜汁、熏、卷、滑、焗通通都能胜任。还赠送价值8888元的食谱和餐具。,订阅后可解锁“国菜烹饪”兴趣课程。,5000,小浣熊烹饪大学
水星恒温游泳馆会员,36,按次消费的会员卡，一共有60次游泳的权力。由于是室内游泳池，所以不用担心游泳后变黑，也不用担心冬天游不了。,订阅后可解锁“游泳”外出项目。,2600,水星集团
文化中心年卡3年版,29,市图书馆推出的年卡会员，可自由出入图书馆、文化馆等场地。在图书馆里可以获取到各种各样的知识。,订阅后可解锁“图书馆”外出项目。,4500,市图书馆
文学讲稿,10,内含写作所需的全部内容，虽然只有65G但是言简意赅，视频简短全是重点。搭配非常智能的语音写作功能，能让码农解放双手，同时具备先进的形容词跟踪功能，轻轻松松写出优美的语句，日更10w不是做梦！,订阅后可解锁“写小说”兴趣课程。,6000,人民文学国际
城市马拉松跑跑卡,38,持卡即可免费参与由跑跑协会举办的马拉松项目。参与可大幅提升体质，但马拉松属于剧烈运动，所以会对心情造成很大负担。,订阅后可解锁“马拉松”外出项目。,4800,跑跑协会
会说话的石头,22,寻龙尺电子版了解一下，高端大气上档次，低调奢华有内涵。,订阅后可解锁“文学考古”兴趣课程。,12000,摸金训练营
鹿蹄直播会员,34,内含5年鹿蹄直播会员卡、游戏体感套装。能让观看者身临其境，同时内赠价值1999元的打赏礼品。,订阅后可解锁“游戏直播”娱乐项目。,8900,麋鹿集团
一个篮球,37,一个普普通通的篮球，但是对一些男孩子有无比的吸引力。,订阅后可解锁“篮球”外出项目。,2000,黑湖橡胶厂
宫廷直播会员,35,一个主打美食烹饪的平台会员卡。能让观看者放松心情的同时略微提高烹饪能力.,订阅后可解锁“美食直播”娱乐项目。,2600,宫廷网络
十万个搏击术,20,关于武术不进入本门课程的讨论还在继续，注意：如果是线上教学，可能需要购入VR和体感设备。,订阅后可解锁“格斗术”兴趣课程。,4100,复仇者技术学院
蜂窝KTV年卡3年版,31,蜂窝KTV推出的年卡会员，有120次包间次数。在KTV里可以放松心情，同时提高歌唱水平。,订阅后可解锁“KTV”外出项目。,3500,蜂窝KTV
手艺人大芬奇,28,民间手艺人手把手教你如何成为一个艺术家。,订阅后可解锁“木刻制作”兴趣课程。,8700,非物质文化遗产联盟
思维绘卷—青春版,15,还在担心脑子学会了，手没学会吗？这款脑波绘图仪让你所想即所得！青春版虽然无法做到完全的所想即所得，但是搭配手绘功能能让初学者更快速的掌握绘画与审美技巧。,订阅后可解锁“素描绘画”兴趣课程。,6900,二向箔游戏
游戏设计全集,25,捆绑销售的49本实体书籍+278本电子书籍。包含了各种类型游戏的设计思路与方法，能让您快速放弃学习它的想法。,订阅后可解锁“游戏策划”兴趣课程。,6400,二向箔游戏
灵气游戏外设,41,2030年发布的《灵气》游戏的外设。该游戏一经发布即是巅峰，仅仅一年时间就让游戏市场全面洗牌，70%的游戏市场被它抢夺。到现在就算是70岁老头都会加入进去，流连忘返。,订阅后可解锁“电子竞技”娱乐项目。,8000,二向箔游戏
舞林霸主,23,实体书和线上教学同时进行，本门学科博大精深备受好评，尤其是我们实体备受好评的实体书籍，顺便一提，序章里面的欲练此功必须用功是绝对的中心思想。,订阅后可解锁“现代舞”兴趣课程。,6200,大武林文化
彩妆天地套装Q9,26,先在软件里捏脸，然后一键生成化妆步骤，只需要一步步跟着套装走，就永远不会失误。新手换头师可以在2小时内达到与软件一样的效果，熟练的换头师可以在10分钟内完成。,订阅后可解锁“美妆护肤”兴趣课程。,13500,彩妆天地
纸牌魔术套装,40,由世界著名魔术师代言的魔术入门套装，内含51个魔术道具、214种魔术术式。教程通俗易懂，见效快、难穿帮，是撩妹娱乐最佳选择。,订阅后可解锁“纸牌魔术”娱乐项目。,3000,彩妆天地
通往精神世界之专业瑜伽,14,包含智瑜伽、业瑜伽、信仰瑜伽、哈他瑜伽、王瑜伽、昆达里尼瑜伽的内容，练习瑜珈可以激活身体的功能。现在购买本课程还赠送瑜伽垫！,订阅后可解锁“瑜伽练习”兴趣课程。,4400,柏坦加利之树
卡莱智能摄像机青春版,19,相比旗舰版各方面性能有大幅度的缩水，虽然不能通过它来看月球人，但手上的微生物它能看的清清楚楚。（后面的参数一大堆，但就算是老师也看不懂）,订阅后可解锁“摄影”兴趣课程。,6000,奥德赛联盟
