Id,Type,Name,Icon,IsBuy,Price,ConditionA,ConditionB,Description,心情,信任,气质,思维,口才,体质,善恶,语文,数学,英语,政治,历史,地理,物理,化学,生物,音乐,表演,舞蹈,手工,棋技,种植,摄影,烹饪,考古,编程,绘画,运动
0,N,未安排,,No,0,null,null,什么也不做,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,M,语文,Liberal arts,No,0,null,null,紫荆花被风踢落了一地，太阳被云朵包了饺子,-5,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,M,数学,science,No,0,null,null,正弦函数、余弦函数，学了都说苦。微分、积分，考完定忘,-8,0,0,0,0,0,0,0,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,M,外语,Liberal arts,No,0,null,null,Long time no see真的不是中式英语里的,-8,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,M,政治,Liberal arts,No,0,null,null,当今中国社会的主要矛盾是人民日益增长的美好生活需要和不平衡不充分的发展之间的矛盾。,-6,0,0,0,0,0,1,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,M,历史,Liberal arts,No,0,null,null,历史的车轮滚滚向前，轮子的每一圈却都是周而复始。吸取教训，记住应被记住的事情。,-6,0,0,0,0,0,0,1,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,M,地理,Liberal arts,No,0,null,null,"羌笛何须怨杨柳,春风不渡玉门关”中的“春风”是指哪个季节的风",-6,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,M,物理,science,No,0,null,null,如果我看得更远一点的话，是因为我站在巨人的肩膀上——牛顿,-8,0,0,0,0,0,0,0,3,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,M,化学,science,No,0,null,null,暗号：38324。下一句？14122。那再下一句呢？糟糕，忘了,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
9,M,生物,science,No,0,null,null,红绿色盲的小姐姐的爸爸和儿子都是红绿色盲,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0
