TotalPoints,LeastValue,Description
595,900,name在导师的建议下，投身进入了interest的学习研究，并且以interest作为自己的毕业课题。毕业时这个课题得到了高影响力的期刊刊登与高频引用。
584,900,name向学校申请了进入interest相关专业学习，随后投身进入了interest的学习研究。毕业时已然是这方面的新星。
569,900,name向学校申请了进入interest相关专业学习，随后投身进入了interest的学习研究。毕业时发表了有一定影响力的论文，被作为毕业论文的典范。
556,900,name向学校申请了进入interest相关专业学习，毕业时发表了有一定影响力的论文，可谓是前程无限，兴趣与工作的完美结合。
535,900,"name的专业与interest没有任何关系，转专业申请也被驳回了。
name凭借良好的成绩，申请了双学位，终于能够在interest领域进行学习。interest相关的毕业论文拿到了优秀的评价，未来或许能在这个领域大放光彩。"
520,900,name在大学期间成立了一个interest工作室，极大的培养了自己的interest兴趣，许多外国同学都赞扬name的勇气。
499,900,"name参加了interest社团，大一下学期就当上了社团主席，并且连任2年，在学校的interest界有很大影响力。
在一次全国比赛中带领团队拿下了银奖，name时常为自己感到自豪。"
483,900,"name参加了interest社团，并且在换届时当上了社团主席，在学校的interest界有很大影响力。
在一次全国比赛中带领团队拿下了银奖，name时常为自己感到自豪。"
459,900,"name参加了interest社团，大一下学期就当上了社团主席，并且连任2年，在学校的interest界有很大影响力。
在一次全国比赛中带领团队拿下了银奖，name时常为自己感到自豪。"
442,900,name经常参加社会上的interest类活动，结交了不少志同道合的朋友，毕业后获得了不少的interest职位推荐。
415,900,name经常参加社会上的interest类活动，结交了不少志同道合的朋友，毕业后获得了不少的interest职位推荐。
397,900,name的专业课程很少，平时又非常喜爱interest，凭借良好的interest水平参与了不少全国比赛，获奖颇丰。
355,900,name的专业课程很少，平时又非常喜爱interest，凭借良好的interest水平参与了不少全国比赛，获奖颇丰。
335,900,name对学校的教学不感兴趣，依然保持着interest兴趣。name与附近学校的同学组成了一个interest同好团体，经常一起聚会讨论，相互学习，毕业后有着良好的interest水平。
315,900,name对学校的教学不感兴趣，依然保持着interest兴趣。name与附近学校的同学组成了一个interest同好团体，经常一起聚会讨论，相互学习，毕业后有着良好的interest水平。
295,900,name对学校的教学不感兴趣，依然保持着interest兴趣。name与附近学校的同学组成了一个interest同好团体，经常一起聚会讨论，相互学习，毕业后有着良好的interest水平。
